,id,alias,name,url,review_count,rating,transactions,price,phone,category,latitude,longitude
0,L7EpZh_kFu8NSFrAeXY3ag,off-the-rez-seattle,Off the Rez,https://www.yelp.com/biz/off-the-rez-seattle?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,195,4.0,"['delivery', 'pickup']",$,+12064148226,"foodtrucks,burgers,tacos",47.6599202,-122.3118251
1,CFpVuZtTXNmIRRkNaT_fXg,el-camion-seattle-16,El Camion,https://www.yelp.com/biz/el-camion-seattle-16?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,83,4.0,['delivery'],$,,"foodtrucks,mexican",47.661607,-122.287411
2,USoCUrnuGw1mwzVpo_dlmA,guanacos-tacos-pupuseria-seattle,Guanaco's Tacos Pupuseria,https://www.yelp.com/biz/guanacos-tacos-pupuseria-seattle?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,338,4.0,"['delivery', 'pickup']",$$,+12065472369,"salvadoran,tacos",47.65714142901622,-122.3140288
3,nHUUnGJHkwMnseXNsd-yCw,rancho-bravo-tacos-seattle,Rancho Bravo Tacos,https://www.yelp.com/biz/rancho-bravo-tacos-seattle?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,465,4.0,"['delivery', 'pickup']",$,,"mexican,foodtrucks",47.66119,-122.32651
4,Nm0amaHjKa97jR-PeJq6Zw,tnt-taqueria-seattle,TNT Taqueria,https://www.yelp.com/biz/tnt-taqueria-seattle?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,446,4.0,['delivery'],$,+12063220124,mexican,47.6615085566491,-122.332939538228
5,Y_smWaJnZrOT3-uRBGkgLA,agua-verde-cafe-seattle,Agua Verde Cafe,https://www.yelp.com/biz/agua-verde-cafe-seattle?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,996,3.5,"['delivery', 'pickup']",$$,+12065458570,"mexican,venues,breakfast_brunch",47.65161,-122.31441
6,ZTFVwQaFVhp_4BU33xoclg,the-counter-at-old-ballard-catering-seattle,The Counter At Old Ballard Catering,https://www.yelp.com/biz/the-counter-at-old-ballard-catering-seattle?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,37,5.0,"['delivery', 'pickup']",,+12062574742,"newamerican,greek,tacos",47.675679,-122.311566
7,JCgvJyyYac5nJ1s-R3ZEBA,memos-mexican-food-restaurant-seattle,Memo's Mexican Food Restaurant,https://www.yelp.com/biz/memos-mexican-food-restaurant-seattle?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,354,3.0,"['delivery', 'pickup']",$,+12067295071,mexican,47.6643199,-122.31334
8,nwrKWcWG1_g8nyUaaUwqlA,tacos-chukis-seattle-5,Tacos Chukis,https://www.yelp.com/biz/tacos-chukis-seattle-5?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,410,4.5,['delivery'],$,+12065189025,"tacos,sandwiches",47.6270336126469,-122.342103158844
9,DFLkElEd8FUDiu7SerzW1Q,el-camion-seattle-20,El Camion,https://www.yelp.com/biz/el-camion-seattle-20?adjust_creative=Yd84IPqpgzteXDQ2QE83uA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Yd84IPqpgzteXDQ2QE83uA,11,4.0,[],,+12064685691,"foodtrucks,mexican,catering",47.67509,-122.31763
